"Car_Name","Price","Mileage","Fuel","Gearbox","Year","Voivodeship"
"Opel Vivaro 2.0 CDTI Extra Long 3,1t Enjoy (bryg.)","129 900","30 000 km","Diesel","Automatyczna","2022","Łódzkie"
"Opel Astra IV 1.6 CDTI Cosmo","29 990","233 268 km","Diesel","Manualna","2016","Pomorskie"
"Opel Astra III 1.4 Elegance","4 999","248 000 km","Benzyna","Manualna","2006","Wielkopolskie"
"Opel Zafira 1.6 Cosmo","18 800","208 500 km","Benzyna+LPG","Manualna","2010","Mazowieckie"
"Opel Meriva 1.4 Color Edition","15 900","212 000 km","Benzyna","Manualna","2011","Łódzkie"
"Opel Corsa","10 499","187 000 km","Benzyna","Manualna","2008","Mazowieckie"
"Opel Zafira Tourer 1.8 Edition","28 900","213 000 km","Benzyna","Manualna","2014","Podlaskie"
"Opel Astra 1.3 CDTI DPF Active","15 900","190 000 km","Diesel","Manualna","2011","Małopolskie"
"Opel Insignia 2.0 CDTI Cosmo","27 700","298 322 km","Diesel","Automatyczna","2014","Podkarpackie"
"Opel Astra 1.7 CDTI Caravan DPF Innovation 110 Jahre","8 900","182 641 km","Diesel","Manualna","2010","Dolnośląskie"
"Opel Insignia 1.8","11 999","248 615 km","Benzyna+LPG","Manualna","2015","Świętokrzyskie"
"Opel Zafira 1.6 D (CDTi ecoFLEX) Start/Stop Business Edition","35 900","175 000 km","Diesel","Manualna","2018","Wielkopolskie"
"Opel Insignia 2.0 T Sport 4x4","27 000","156 882 km","Benzyna","Manualna","2011","Dolnośląskie"
"Opel Corsa","2 950","177 000 km","Benzyna","Manualna","2006","Pomorskie"
"Opel Cascada 1.6 T Cosmo","49 000","148 373 km","Benzyna","Automatyczna","2013","Łódzkie"
"Opel Insignia 2.0 CDTI Elegance","14 999","261 000 km","Diesel","Manualna","2010","Śląskie"
"Opel Grandland 1.2 T GS S&S","89 900","56 697 km","Benzyna","Automatyczna","2023","Wielkopolskie"
"Opel Insignia 1.6 CDTI","27 500","223 000 km","Diesel","Automatyczna","2016","Podkarpackie"
"Opel Astra","21 500","196 000 km","Benzyna+LPG","Manualna","2013","Mazowieckie"
"Opel Corsa 1.2 16V Cosmo","12 900","136 000 km","Benzyna","Manualna","2008","Kujawsko-pomorskie"
"Opel Astra 1.6 Enjoy","6 000","208 000 km","Benzyna","Manualna","2004","Mazowieckie"
"Opel Astra 1.6","17 900","94 466 km","Benzyna","Manualna","2009","Kujawsko-pomorskie"
"Opel Cascada 2.0 CDTI Cosmo S&S","15 500","52 000 km","Diesel","Manualna","2013","Małopolskie"
"Opel Mokka 1.4 Turbo ecoFLEX Start/Stop 4x4 Innovation","39 900","165 000 km","Benzyna","Manualna","2013","Świętokrzyskie"
"Opel Astra III 1.7 CDTI 111","8 900","240 984 km","Diesel","Manualna","2010","Wielkopolskie"
"Opel Insignia","29 400","240 000 km","Diesel","Automatyczna","2014","Kujawsko-pomorskie"
"Opel Astra GTC 1.8","15 200","213 786 km","Benzyna","Manualna","2008","Wielkopolskie"
"Opel Astra","44 900","134 000 km","Benzyna","Manualna","2018","Mazowieckie"
"Opel Astra 1.4 Turbo Sports Tourer Dynamic","37 900","132 000 km","Benzyna","Manualna","2016","Mazowieckie"
"Opel Corsa 1.4 Edition","36 999","45 000 km","Benzyna","Manualna","2018","Śląskie"
"Opel Insignia 2.0 CDTI Cosmo 4x4","37 000","215 km","Diesel","Automatyczna","2016","Śląskie"
"Opel Insignia 2.0 CDTI Edition","12 000","270 928 km","Diesel","Manualna","2010","Opolskie"
"Opel Vivaro","36 500","350 000 km","Diesel","Manualna","2013","Małopolskie"
"Opel Astra IV 2.0 CDTI Cosmo S&S","26 400","207 000 km","Diesel","Manualna","2015","Kujawsko-pomorskie"
"Opel Astra 1.4 Turbo ENERGY","18 900","202 650 km","Benzyna","Manualna","2014","Wielkopolskie"
"Opel Meriva 1.3 CDTI Enjoy","12 900","140 858 km","Diesel","Manualna","2006","Śląskie"
"Opel Astra III GTC 1.6 Cosmo","10 900","185 200 km","Benzyna","Manualna","2007","Podlaskie"
"Opel Astra","30 900","198 000 km","Diesel","Manualna","2018","Wielkopolskie"
"Opel Insignia 2.0 CDTI Cosmo","15 000","278 316 km","Diesel","Automatyczna","2010","Pomorskie"
"Opel Mokka 1.6 CDTI ecoFLEX Start/Stop Color Edition","31 500","151 000 km","Diesel","Manualna","2015","Wielkopolskie"
"Opel Mokka 1.7 CDTI Enjoy S&S","29 900","155 000 km","Diesel","Manualna","2014","Wielkopolskie"
"Opel Crossland X 1.2 Start/Stop Innovation","44 900","82 000 km","Benzyna","Manualna","2018","Śląskie"
"Opel Mokka 1.7 CDTI ecoFLEX Start/Stop 4x4 Innovation","33 790","195 375 km","Diesel","Manualna","2013","Opolskie"
"Opel Astra","4 400","302 705 km","Benzyna","Manualna","2005","Warmińsko-mazurskie"
"Opel Vectra 2.8 V6 OPC","25 500","211 574 km","Benzyna","Manualna","2006","Dolnośląskie"
"Opel Corsa","26 900","135 806 km","Benzyna","Manualna","2016","Opolskie"
"Opel Mokka 1.4 T Cosmo EU6","55 900","100 000 km","Benzyna","Manualna","2016","Śląskie"
"Opel Astra 1.5 D Start/Stop Sports Tourer Automatik 2020","22 999","116 400 km","Diesel","Automatyczna","2021","Opolskie"
"Opel Corsa 1.6T OPC","32 000","177 509 km","Benzyna","Manualna","2010","Podkarpackie"
"Opel Astra 1.4 Turbo 150 Jahre","29 500","121 000 km","Benzyna","Manualna","2015","Kujawsko-pomorskie"
"Opel Astra","29 900","181 000 km","Diesel","Manualna","2016","Kujawsko-pomorskie"
"Opel Mokka X 1.4 T Color Edition S&S","49 990","103 100 km","Benzyna","Manualna","2017","Świętokrzyskie"
"Opel Astra 1.9 CDTI Cosmo","9 500","225 957 km","Diesel","Manualna","2005","Świętokrzyskie"
"Opel Mokka 1.4 Turbo ecoFLEX Start/Stop Innovation","42 900","75 902 km","Benzyna","Manualna","2016","Świętokrzyskie"
"Opel Insignia 2.0 CDTI","18 700","245 341 km","Diesel","Manualna","2009","Łódzkie"
"Opel Astra IV 1.6 Active","19 500","243 000 km","Benzyna","Manualna","2012","Mazowieckie"
"Opel Astra GTC 1.4 Turbo ecoFLEX Start/Stop","21 900","164 042 km","Benzyna","Manualna","2012","Dolnośląskie"
"Opel Vivaro","44 400","204 000 km","Diesel","Manualna","2013","Pomorskie"
"Opel Astra","24 999","207 000 km","Diesel","Manualna","2012","Podkarpackie"
"Opel Meriva 1.4 Active","21 900","143 000 km","Benzyna","Manualna","2013","Wielkopolskie"
"Opel Grandland X 1.5 CDTI Elegance S&S","64 900","106 379 km","Diesel","Manualna","2021","Śląskie"
"Opel Insignia","27 900","219 000 km","Diesel","Manualna","2014","Łódzkie"
"Opel Zafira 1.6 CNG Turbo (ecoFLEX) Edition","12 600","211 168 km","Benzyna+CNG","Manualna","2012","Łódzkie"
"Opel Insignia CT 2.0 CDTI S&S","22 500","281 000 km","Diesel","Manualna","2014","Pomorskie"
"Opel Vivaro","56 900","123 000 km","Diesel","Manualna","2018","Świętokrzyskie"
"Opel Astra GTC 1.4 Turbo","12 900","250 585 km","Benzyna+LPG","Manualna","2013","Śląskie"
"Opel Mokka 1.4 Turbo Automatik Color Edition","49 900","98 000 km","Benzyna","Automatyczna","2017","Wielkopolskie"
"Opel Crossland 1.2 Edition","47 900","35 220 km","Benzyna","Manualna","2021","Podlaskie"
"Opel Insignia 1.5 T Innovation S&S","68 500","39 582 km","Benzyna","Automatyczna","2018","Łódzkie"
"Opel Mokka 1.6 CDTI Cosmo S&S 4x4","45 900","138 000 km","Diesel","Manualna","2015","Śląskie"
"Opel Corsa 1.2 Direct Injection Turbo Start/Stop GS Line","47 900","20 000 km","Benzyna","Manualna","2020","Śląskie"
"Opel Corsa 1.2 16V Cosmo","14 800","196 100 km","Benzyna","Manualna","2013","Śląskie"
"Opel Signum 2.2 Cosmo","4 200","239 000 km","Benzyna","Manualna","2004","Małopolskie"
"Opel Vectra","4 000","380 000 km","Diesel","Manualna","2002","Dolnośląskie"
"Opel Corsa 1.4 16V Navi","21 900","151 000 km","Benzyna","Manualna","2014","Śląskie"
"Opel Astra","43 499","48 000 km","Benzyna","Manualna","2018","Lubuskie"
"Opel Zafira 1.6 Cosmo","11 900","209 200 km","Benzyna","Manualna","2009","Kujawsko-pomorskie"
"Opel Meriva","16 000","181 500 km","Benzyna+LPG","Manualna","2011","Mazowieckie"
"Opel Zafira 1.7 CDTI Cosmo","17 000","162 000 km","Diesel","Manualna","2011","Dolnośląskie"
"Opel Grandland X 1.2 T GPF Ultimate S&S","62 900","62 000 km","Benzyna","Automatyczna","2019","Małopolskie"
"Opel Adam 1.4 Slam","28 500","107 000 km","Benzyna","Manualna","2014","Wielkopolskie"
"Opel Meriva 1.6 CDTI Cosmo S&S","20 000","186 254 km","Diesel","Manualna","2014","Wielkopolskie"
"Opel Combo Life 1.5 D Start/Stop Edition","33 000","173 350 km","Diesel","Manualna","2018","Wielkopolskie"
"Opel Corsa 1.4 16V Enjoy","11 200","252 000 km","Benzyna","Manualna","2009","Łódzkie"
"Opel Crossland X 1.5 CDTI Enjoy S&S","43 800","84 000 km","Diesel","Manualna","2020","Świętokrzyskie"
"Opel Zafira","27 900","113 000 km","Benzyna","Manualna","2012","Małopolskie"
"Opel Astra IV 1.6 CDTI Sport","22 149","207 967 km","Diesel","Manualna","2015","Śląskie"
"Opel Mokka","42 000","118 000 km","Diesel","Automatyczna","2018","Opolskie"
"Opel Mokka 1.4 T Cosmo","39 900","184 030 km","Benzyna","Manualna","2014","Lubelskie"
"Opel Insignia 1.6 T Cosmo S&S","31 999","200 000 km","Benzyna","Manualna","2016","Kujawsko-pomorskie"
"Opel Corsa","4 000","95 000 km","Benzyna","Manualna","2001","Mazowieckie"
"Opel Astra","20 600","169 000 km","Benzyna","Manualna","2011","Śląskie"
"Opel Corsa 1.4 Color Edition","28 600","149 907 km","Benzyna","Manualna","2015","Dolnośląskie"
"Opel Vectra 1.9 CDTI Caravan Cosmo Plus","6 600","320 000 km","Diesel","Manualna","2005","Śląskie"
"Opel Insignia","39 900","198 000 km","Benzyna","Manualna","2019","Śląskie"
"Opel Insignia","52 900","196 000 km","Benzyna","Manualna","2019","Zachodniopomorskie"
"Opel Astra","23 900","237 000 km","Diesel","Manualna","2013","Zachodniopomorskie"
"Opel Mokka 1.4 T Enjoy S&S 4x4","37 900","128 000 km","Benzyna","Manualna","2013","Małopolskie"
"Opel Zafira 2.0 CDTI Cosmo","26 900","194 000 km","Diesel","Automatyczna","2014","Zachodniopomorskie"
"Opel Zafira 1.4 T Cosmo","36 900","189 000 km","Benzyna","Manualna","2014","Śląskie"
"Opel Mokka 1.6 CDTI ecoFLEX Start/Stop Edition","34 950","190 000 km","Diesel","Manualna","2017","Mazowieckie"
"Opel Corsa","17 900","288 000 km","Diesel","Manualna","2016","Lubuskie"
"Opel Meriva 1.6 CDTI Essentia S&S","23 900","173 009 km","Diesel","Manualna","2015","Lubuskie"
"Opel Corsa","11 070","212 822 km","Benzyna+LPG","Manualna","2009","Warmińsko-mazurskie"
"Opel Insignia","39 900","117 000 km","Benzyna","Automatyczna","2017","Śląskie"
"Opel Mokka X 1.4 ECOTEC Start/Stop Design Line","49 900","148 051 km","Benzyna","Manualna","2017","Lubelskie"
"Opel Grandland X 1.5 D Start/Stop Automatik Business INNOVATION","62 900","166 000 km","Diesel","Automatyczna","2018","Świętokrzyskie"
"Opel Mokka 1.6 Cosmo S&S","37 900","129 000 km","Benzyna","Manualna","2014","Małopolskie"
"Opel Astra III 1.7 CDTI EcoFLEX","16 900","182 230 km","Diesel","Manualna","2012","Wielkopolskie"
"Opel Astra GTC 1.4 Turbo","21 500","139 500 km","Benzyna","Manualna","2010","Śląskie"
"Opel Corsa 1.4 16V Energy","16 800","89 652 km","Benzyna","Manualna","2014","Małopolskie"
"Opel Astra IV 1.6 CDTI Sport","24 500","218 000 km","Diesel","Manualna","2015","Podkarpackie"
"Opel Zafira 1.6 CDTI Enjoy","35 900","240 000 km","Diesel","Manualna","2016","Śląskie"
"Opel Astra GTC 1.4 Turbo","29 500","186 011 km","Benzyna","Manualna","2013","Małopolskie"
"Opel Astra 1.9 CDTI DPF Automatik Edition","6 300","255 000 km","Diesel","Automatyczna","2007","Zachodniopomorskie"
"Opel Corsa 1.3 CDTI 111","3 500","290 000 km","Diesel","Manualna","2008","Dolnośląskie"
"Opel Grandland 1.2 T Business Edition S&S","65 000","42 000 km","Benzyna","Manualna","2022","Podkarpackie"
"Opel Mokka 1.4 Turbo ecoFLEX Start/Stop Innovation","45 900","115 000 km","Benzyna","Manualna","2014","Podkarpackie"
"Opel Astra","20 500","231 500 km","Benzyna","Manualna","2014","Zachodniopomorskie"
"Opel Zafira","4 900","228 000 km","Diesel","Manualna","2006","Małopolskie"
"Opel Astra V 1.4 T Enjoy","39 900","114 000 km","Benzyna","Manualna","2016","Małopolskie"
"Opel Astra 1.4 Turbo Sports Tourer 150 Jahre","17 700","212 441 km","Benzyna","Manualna","2012","Lubelskie"
"Opel Astra 1.4 Turbo Sports Tourer ecoFLEX Start/Stop Edition","26 900","156 000 km","Benzyna","Manualna","2014","Małopolskie"
"Opel Insignia 2.0 CDTI Active S&S","39 900","211 000 km","Diesel","Manualna","2018","Wielkopolskie"
"Opel Meriva 1.7 CDTI Innovation","17 800","252 000 km","Diesel","Manualna","2011","Lubelskie"
"Opel Vivaro L2H1 2.9t Edition Elegance","63 500","151 500 km","Diesel","Manualna","2018","Łódzkie"
"Opel Astra IV GTC 1.6 T Sport","26 500","229 000 km","Benzyna","Manualna","2011","Małopolskie"
"Opel Grandland X 1.5 CDTI Ultimate S&S","67 850","143 000 km","Diesel","Automatyczna","2019","Dolnośląskie"
"Opel Mokka 1.4 T Cosmo S&S 4x4","34 900","149 555 km","Benzyna","Manualna","2014","Mazowieckie"
"Opel Astra V 1.2 T Edition S&S","27 500","176 000 km","Benzyna","Manualna","2020","Pomorskie"
"Opel Crossland X","51 900","100 000 km","Diesel","Automatyczna","2019","Śląskie"
"Opel Zafira 2.0 CDTI Cosmo","23 500","255 445 km","Diesel","Manualna","2012","Małopolskie"
"Opel Insignia 1.6 ECOTEC DI Turbo Country Tourer ecoFLE","29 300","260 000 km","Benzyna","Manualna","2016","Pomorskie"
"Opel Astra V 1.6 CDTI Dynamic S&S","31 900","146 500 km","Diesel","Manualna","2018","Pomorskie"
"Opel Antara Cosmo","6 500","177 307 km","Benzyna","Manualna","2012","Warmińsko-mazurskie"
"Opel Insignia CT 1.6 T Exclusive S&S","69 990","158 000 km","Benzyna","Automatyczna","2019","Śląskie"
"Opel Corsa","6 500","279 581 km","Diesel","Manualna","2008","Mazowieckie"
"Opel Astra 1.4 Caravan","6 500","207 000 km","Benzyna","Manualna","2005","Mazowieckie"
"Opel Astra 1.7 CDTI Caravan","5 800","230 000 km","Diesel","Manualna","2005","Pomorskie"
"Opel Meriva","4 500","190 000 km","Benzyna+LPG","Manualna","2004","Wielkopolskie"
"Opel Astra 1.7 CDTI Caravan DPF","8 300","195 000 km","Diesel","Manualna","2010","Pomorskie"
"Opel Astra 1.4 Edition","24 999","89 000 km","Benzyna","Manualna","2013","Wielkopolskie"
"Opel Zafira 1.9 CDTI","8 999","226 000 km","Diesel","Manualna","2005","Lubuskie"
"Opel Insignia 2.0 CDTI Edition","18 900","250 000 km","Diesel","Manualna","2013","Kujawsko-pomorskie"
"Opel Astra 1.6 CDTI Start/Stop Sports Tourer Active","32 400","210 000 km","Diesel","Manualna","2019","Pomorskie"
"Opel Mokka 1.4 T Enjoy","52 900","82 000 km","Benzyna","Manualna","2016","Łódzkie"
"Opel Astra","40 900","52 408 km","Benzyna","Manualna","2017","Lubelskie"
"Opel Astra 1.7 CDTI DPF Active","15 000","217 588 km","Diesel","Manualna","2012","Pomorskie"
"Opel Zafira Tourer 2.0 CDTI Sport","28 900","249 000 km","Diesel","Manualna","2014","Wielkopolskie"
"Opel Astra IV 1.6 Cosmo","21 000","246 000 km","Benzyna","Manualna","2013","Mazowieckie"
"Opel Corsa 1.4 Automatik Active","41 900","74 076 km","Benzyna","Automatyczna","2019","Wielkopolskie"
"Opel Meriva 1.4 T Enjoy","29 900","129 000 km","Benzyna","Manualna","2015","Mazowieckie"
"Opel Astra 1.4 Turbo Edition","18 500","215 000 km","Benzyna","Manualna","2011","Łódzkie"
"Opel Grandland X 1.6 D Start/Stop Business Edition","48 900","220 000 km","Diesel","Manualna","2018","Pomorskie"
"Opel Astra II 2.0 DI","2 800","210 000 km","Diesel","Manualna","1999","Mazowieckie"
"Opel Astra II 1.7 CDTI","2 200","222 500 km","Diesel","Manualna","2003","Dolnośląskie"
"Opel Mokka 1.4 Turbo ecoFLEX Start/Stop Innovation","43 850","120 000 km","Benzyna","Manualna","2014","Wielkopolskie"
"Opel Astra 2.0 DTI Caravan","2 500","300 000 km","Diesel","Manualna","2004","Śląskie"
"Opel Corsa 1.2 16V Cosmo","22 200","128 500 km","Benzyna","Manualna","2013","Małopolskie"
"Opel Vectra","16 999","183 571 km","Benzyna+LPG","Automatyczna","2007","Mazowieckie"
"Opel Corsa 1.2 16V EcoFLEX Satellite","18 999","103 000 km","Benzyna","Manualna","2011","Dolnośląskie"
"Opel Astra OPC Start/Stop","56 500","114 000 km","Benzyna","Manualna","2014","Podkarpackie"
"Opel Astra","4 500","224 392 km","Benzyna","Manualna","2002","Łódzkie"
"Opel Corsa","24 999","93 000 km","Benzyna","Manualna","2014","Śląskie"
"Opel Insignia 2.0 CDTI automatik Business Edition","59 900","186 000 km","Diesel","Automatyczna","2018","Śląskie"
"Opel Insignia 2.0 CDTI Cosmo ecoFLEX S&S","29 900","179 184 km","Diesel","Manualna","2015","Wielkopolskie"
"Opel Adam","26 900","70 000 km","Benzyna","Manualna","2016","Wielkopolskie"
"Opel Astra GTC 2.0 CDTI ecoFLEX Start/Stop Edition","28 900","202 000 km","Diesel","Manualna","2011","Śląskie"
"Opel Kadett E 1.4 CS","3 500","92 408 km","Benzyna","Manualna","1991","Lubuskie"
"Opel Corsa 1.2 Edition S&S","39 800","14 300 km","Benzyna","Manualna","2021","Śląskie"
"Opel Astra 1.4 Turbo Business","39 999","152 300 km","Benzyna","Manualna","2016","Mazowieckie"
"Opel Insignia 1.6 CDTI Cosmo S&S","23 900","220 000 km","Diesel","Manualna","2015","Lubuskie"
"Opel Corsa 1.4 16V Sport","8 400","192 000 km","Benzyna","Manualna","2008","Dolnośląskie"
"Opel Insignia","32 444","219 900 km","Diesel","Automatyczna","2016","Mazowieckie"
"Opel Mokka 1.4 T Enjoy","54 400","120 000 km","Benzyna","Automatyczna","2017","Mazowieckie"
"Opel Astra III 1.7 CDTI EcoFLEX","13 500","261 000 km","Diesel","Manualna","2014","Kujawsko-pomorskie"
"Opel Insignia 2.0 CDTI ecoFLEX Sport","15 950","223 500 km","Diesel","Manualna","2010","Kujawsko-pomorskie"
"Opel Insignia 2.0 CDTI Sports Tourer 4x4","16 900","154 000 km","Diesel","Manualna","2012","Małopolskie"
"Opel Insignia 2.0 CDTI","14 900","335 000 km","Diesel","Manualna","2012","Lubelskie"
"Opel Zafira Tourer 1.6 CDTI ecoFLEX Start/Stop Business Innovation","45 900","143 560 km","Diesel","Manualna","2018","Pomorskie"
"Opel Insignia 2.0 CDTI ecoFLEX Start/Stop Business Innovation","34 800","175 000 km","Diesel","Manualna","2016","Wielkopolskie"
"Opel Insignia Grand Sport 1.6 Diesel Business Edition","43 900","219 785 km","Diesel","Manualna","2018","Pomorskie"
"Opel Insignia 2.0 T Cosmo","24 900","143 000 km","Benzyna","Automatyczna","2010","Podlaskie"
"Opel Astra 1.4 Turbo Active","45 000","106 885 km","Benzyna","Manualna","2018","Śląskie"
"Opel Zafira 1.4 Turbo Active","29 999","146 200 km","Benzyna","Manualna","2013","Mazowieckie"
"Opel Crossland X 1.2 Start/Stop Automatik Design Line","45 900","36 879 km","Benzyna","Automatyczna","2018","Wielkopolskie"
"Opel Insignia 2.0 CDTI Edition","19 990","246 329 km","Diesel","Automatyczna","2014","Mazowieckie"
"Opel Zafira 1.4 Turbo Automatik Business Innovation","36 990","181 000 km","Benzyna","Automatyczna","2014","Warmińsko-mazurskie"
"Opel Corsa","18 900","48 000 km","Benzyna","Manualna","2020","Wielkopolskie"
"Opel Insignia 2.0 CDTI","18 000","291 088 km","Diesel","Manualna","2011","Śląskie"
"Opel Astra 1.4 Turbo Active","17 900","201 000 km","Benzyna","Manualna","2011","Dolnośląskie"
"Opel Astra V 1.4 Enjoy","41 400","79 834 km","Benzyna","Manualna","2017","Kujawsko-pomorskie"
"Opel Astra V 1.4 T Dynamic","47 250","105 378 km","Benzyna","Manualna","2017","Dolnośląskie"
"Opel Astra","36 900","132 432 km","Diesel","Manualna","2018","Pomorskie"
"Opel Corsa","5 250","239 680 km","Benzyna","Manualna","2009","Zachodniopomorskie"
"Opel Astra GTC 1.4 Turbo ecoFLEX Start/Stop","28 900","100 000 km","Benzyna","Manualna","2012","Śląskie"
"Opel Mokka 1.6 CDTI Cosmo S&S","32 999","220 000 km","Diesel","Manualna","2015","Świętokrzyskie"
"Opel Vivaro 1.6 CDTI L2H1 S&S Sport","59 999","235 360 km","Diesel","Manualna","2017","Łódzkie"
"Opel Mokka 1.4 Turbo ecoFLEX Start/Stop 4x4 Edition","55 900","101 900 km","Benzyna","Manualna","2017","Podkarpackie"
"Opel Astra III 1.7 CDTI","7 000","295 000 km","Diesel","Manualna","2011","Małopolskie"
"Opel Corsa 1.2 Business S&S","47 500","40 800 km","Benzyna","Manualna","2021","Łódzkie"
"Opel Crossland X 1.2 ECOTEC Start/Stop Innovation","45 500","62 500 km","Benzyna","Manualna","2018","Łódzkie"
"Opel Signum 1.9 CDTI Cosmo","8 500","204 000 km","Diesel","Manualna","2006","Podkarpackie"
"Opel Astra 1.4 Turbo Sports Tourer Dynamic","35 000","190 000 km","Benzyna","Manualna","2017","Mazowieckie"
"Opel Corsa","31 900","141 319 km","Benzyna","Manualna","2021","Wielkopolskie"
"Opel Astra","35 990","156 000 km","Benzyna","Manualna","2016","Świętokrzyskie"
"Opel Meriva","7 500","177 330 km","Benzyna","Manualna","2007","Lubelskie"
"Opel Meriva","19 000","193 971 km","Benzyna","Manualna","2010","Mazowieckie"
"Opel Insignia Sports Tourer 2.0 Diesel Automatik Business Edition","54 900","243 700 km","Diesel","Automatyczna","2017","Pomorskie"
"Opel Astra","44 900","132 000 km","Benzyna","Manualna","2016","Mazowieckie"
"Opel Astra","31 900","216 000 km","Diesel","Automatyczna","2016","Mazowieckie"
"Opel Astra","12 999","178 000 km","Benzyna","Manualna","2009","Śląskie"
"Opel Corsa","15 000","182 000 km","Benzyna","Manualna","2011","Wielkopolskie"
"Opel Astra IV 1.7 CDTI Cosmo S&S","23 700","162 000 km","Diesel","Manualna","2013","Podkarpackie"
"Opel Mokka X 1.4 Automatik Edition","49 900","151 000 km","Benzyna","Automatyczna","2018","Mazowieckie"
"Opel Zafira 1.6 CDTI Enjoy","31 900","93 258 km","Diesel","Manualna","2015","Małopolskie"
"Opel Zafira","95 000","85 000 km","Elektryczny","Automatyczna","2021","Małopolskie"
"Opel Astra","8 900","220 000 km","Benzyna","Manualna","1999","Podkarpackie"
"Opel Corsa","21 600","140 153 km","Diesel","Manualna","2015","Śląskie"
"Opel Astra","49 900","44 500 km","Benzyna","Manualna","2021","Podkarpackie"
"Opel Corsa 1.4 (ecoFLEX) Start/Stop Selection","27 900","130 000 km","Benzyna","Manualna","2015","Śląskie"
"Opel Zafira 1.6","7 900","209 000 km","Benzyna","Manualna","2006","Wielkopolskie"
"Opel Astra IV 2.0 CDTI Cosmo","16 000","277 000 km","Diesel","Manualna","2011","Zachodniopomorskie"
"Opel Mokka 1.2 T GS S&S","84 900","36 695 km","Benzyna","Automatyczna","2023","Podkarpackie"
"Opel Insignia 2.0 CDTI Cosmo","27 900","237 000 km","Diesel","Manualna","2012","Zachodniopomorskie"
"Opel Grandland 1.2 T mHEV GS S&S eDTC6","129 900","2 km","Hybryda","Automatyczna","2025","Małopolskie"
"Opel Corsa","29 900","50 206 km","Benzyna","Manualna","2021","Wielkopolskie"
"Opel Adam","25 900","105 089 km","Benzyna","Manualna","2015","Mazowieckie"
"Opel Meriva","12 999","158 669 km","Benzyna","Manualna","2008","Mazowieckie"
"Opel Insignia 1.8 Executive","27 800","182 000 km","Benzyna+LPG","Manualna","2014","Łódzkie"
"Opel Vivaro 2.5 CDTI L2H1","28 900","261 000 km","Diesel","Manualna","2009","Mazowieckie"
"Opel Astra","14 500","309 000 km","Diesel","Manualna","2012","Łódzkie"
"Opel Mokka X 1.4 T Elite S&S","53 999","98 000 km","Benzyna","Manualna","2017","Lubelskie"
"Opel Vivaro 2.0 CDTI L1H1","24 900","190 054 km","Diesel","Manualna","2008","Mazowieckie"
"Opel Agila 1.0 Essentia","8 900","197 000 km","Benzyna","Manualna","2008","Warmińsko-mazurskie"
"Opel Corsa 1.3 CDTI Essentia","3 999","232 244 km","Diesel","Manualna","2007","Mazowieckie"
"Opel Astra TwinTop 1.8 Cosmo","9 999","193 000 km","Benzyna","Manualna","2008","Wielkopolskie"
"Opel Astra","19 900","170 000 km","Benzyna","Manualna","2009","Warmińsko-mazurskie"
"Opel Astra III 1.4","18 500","170 000 km","Benzyna","Manualna","2010","Mazowieckie"
"Opel Grandland X 1.2 Start/Stop Automatik INNOVATION","58 999","134 000 km","Benzyna","Automatyczna","2020","Małopolskie"
"Opel Vectra 1.9 CDTI Elegance","8 800","314 000 km","Diesel","Manualna","2007","Lubelskie"
"Opel Astra","49 900","91 300 km","Benzyna","Manualna","2020","Świętokrzyskie"
"Opel Combo","111 250","5 km","Diesel","Manualna","2024","Wielkopolskie"
"Opel Corsa 1.3 CDTI Enjoy","19 800","175 500 km","Diesel","Manualna","2015","Mazowieckie"
"Opel Mokka","42 990","154 500 km","Benzyna","Manualna","2016","Świętokrzyskie"
"Opel Insignia Sports Tourer 2.0 Diesel Business Innovation","35 999","194 000 km","Diesel","Manualna","2016","Wielkopolskie"
"Opel Grandland X 1.6 D Start/Stop Business INNOVATION","49 999","150 000 km","Diesel","Manualna","2017","Podkarpackie"
"Opel Crossland X 1.2 Start/Stop 2020","47 500","83 000 km","Benzyna","Manualna","2021","Świętokrzyskie"
"Opel Meriva 1.4 Cosmo","21 900","230 000 km","Benzyna+LPG","Manualna","2016","Mazowieckie"
"Opel Vivaro","79 900","257 000 km","Diesel","Automatyczna","2021","Wielkopolskie"
"Opel Insignia 2.0 CDTI Cosmo","16 400","286 000 km","Diesel","Manualna","2009","Kujawsko-pomorskie"
"Opel Astra V 1.4 T Enjoy","38 000","140 000 km","Benzyna","Manualna","2016","Wielkopolskie"
"Opel Insignia 1.6 CDTI ecoFLEX Start/Stop Business Edition","44 800","239 000 km","Diesel","Manualna","2017","Mazowieckie"
"Opel Mokka 1.2 T Elegance S&S","74 900","66 800 km","Benzyna","Automatyczna","2022","Małopolskie"
"Opel Mokka","48 500","127 000 km","Benzyna","Manualna","2017","Wielkopolskie"
"Opel Grandland X 1.5 CDTI Edition S&S","52 900","176 746 km","Diesel","Manualna","2021","Mazowieckie"
"Opel Crossland X 1.2 Start/Stop Innovation","51 900","23 500 km","Benzyna","Manualna","2020","Małopolskie"
"Opel Meriva 1.3 CDTI EcoFLEX Enjoy","6 200","245 km","Diesel","Manualna","2010","Podlaskie"
"Opel Insignia 2.0 T Cosmo 4x4","15 500","212 587 km","Benzyna","Automatyczna","2009","Mazowieckie"
"Opel Astra III 1.6 Enjoy","10 000","250 000 km","Benzyna","Manualna","2011","Mazowieckie"
