"Car_Name","Price","Mileage","Fuel","Gearbox","Year","Voivodeship"
"Opel Vivaro 1.9 CDTI L2H1 Edition","29 900","208 000 km","Diesel","Manualna","2005","Mazowieckie"
"Opel Astra V 1.6 CDTI Elite S&S","35 800","165 656 km","Diesel","Manualna","2017","Kujawsko-pomorskie"
"Opel Astra III 1.6 Sport","4 800","310 000 km","Benzyna+LPG","Manualna","2005","Kujawsko-pomorskie"
"Opel Insignia","57 000","103 381 km","Benzyna","Manualna","2019","Lubelskie"
"Opel Meriva 1.4 T Cosmo","19 600","230 000 km","Benzyna","Manualna","2010","Mazowieckie"
"Opel Meriva 1.4 ecoflex Selection","16 900","220 000 km","Benzyna+LPG","Manualna","2012","Świętokrzyskie"
"Opel Mokka Mokka-e 50kWh Ultimate Pack","79 800","8 000 km","Elektryczny","Automatyczna","2022","Wielkopolskie"
"Opel Vectra 2.0 T Cosmo","11 500","378 767 km","Benzyna+LPG","Manualna","2009","Śląskie"
"Opel Mokka 1.7 CDTI ecoFLEX Start/Stop Edition","37 600","207 000 km","Diesel","Manualna","2014","Mazowieckie"
"Opel Mokka 1.7 CDTI Cosmo S&S 4x4","36 900","202 012 km","Diesel","Manualna","2014","Mazowieckie"
"Opel Corsa","24 900","175 000 km","Benzyna","Manualna","2019","Śląskie"
"Opel Grandland X 1.6 D Start/Stop Automatik Edition","49 900","123 000 km","Diesel","Automatyczna","2018","Mazowieckie"
"Opel Vivaro","13 000","287 000 km","Diesel","Manualna","2013","Podkarpackie"
"Opel Corsa ver-1-2-16v-111","6 500","205 103 km","Benzyna","Manualna","2010","Wielkopolskie"
"Opel Astra III 1.7 CDTI EcoFLEX","9 999","240 000 km","Diesel","Manualna","2013","Dolnośląskie"
"Opel Zafira 2.0 CDTI Cosmo","19 900","404 887 km","Diesel","Automatyczna","2013","Wielkopolskie"
"Opel Mokka 1.4 T Cosmo","33 600","205 000 km","Benzyna","Manualna","2014","Mazowieckie"
"Opel Insignia 2.0 CDTI ecoFLEX Start/Stop Sport","19 900","250 000 km","Diesel","Manualna","2012","Kujawsko-pomorskie"
"Opel Vivaro L2H1 2.9t Edition","69 495","246 948 km","Diesel","Manualna","2018","Mazowieckie"
"Opel Vectra","13 200","315 000 km","Diesel","Automatyczna","2006","Kujawsko-pomorskie"
"Opel Astra 1.6","4 500","221 000 km","Benzyna","Manualna","2000","Podkarpackie"
"Opel Corsa 1.2 16V EcoFLEX Active","13 900","185 490 km","Benzyna","Manualna","2013","Pomorskie"
"Opel Astra IV GTC 1.6 T SIDI Sport S&S EU6","49 900","43 006 km","Benzyna","Manualna","2017","Mazowieckie"
"Opel Corsa","23 900","41 262 km","Benzyna","Manualna","2015","Wielkopolskie"
"Opel Corsa 1.4 Enjoy S&S","29 500","57 000 km","Benzyna","Manualna","2016","Kujawsko-pomorskie"
"Opel Meriva 1.4 Color Edition","25 800","61 000 km","Benzyna","Manualna","2011","Łódzkie"
"Opel Astra 1.7 CDTI DPF Cosmo","24 200","74 000 km","Diesel","Manualna","2013","Małopolskie"
"Opel Crossland X 1.2 T Elite S&S","43 900","33 458 km","Benzyna","Manualna","2020","Wielkopolskie"
"Opel Astra","29 900","55 000 km","Benzyna","Manualna","2013","Podlaskie"
"Opel Astra 1.4 Turbo Edition","31 900","104 000 km","Benzyna","Manualna","2015","Podkarpackie"
"Opel Insignia 1.5 T Innovation S&S","69 890","62 890 km","Benzyna","Automatyczna","2020","Kujawsko-pomorskie"
"Opel Meriva","31 900","76 700 km","Benzyna","Manualna","2016","Małopolskie"
"Opel Astra","29 900","175 000 km","Diesel","Manualna","2012","Kujawsko-pomorskie"
"Opel Agila","24 500","55 950 km","Diesel","Manualna","2008","Lubelskie"
"Opel Mokka","89 800","34 667 km","Benzyna","Automatyczna","2023","Podkarpackie"
"Opel Astra IV 1.4 T Active","30 000","163 000 km","Benzyna","Manualna","2016","Łódzkie"
"Opel Corsa 1.2 T mHEV Yes 2025 eDCT","104 450","2 km","Hybryda","Automatyczna","2025","Podkarpackie"
"Opel Insignia","66 900","55 000 km","Benzyna","Manualna","2020","Pomorskie"
"Opel Grandland","149 990","1 500 km","Hybryda","Automatyczna","2025","Śląskie"
"Opel Frontera","113 500","5 km","Hybryda","Automatyczna","2025","Śląskie"
"Opel Mokka","87 800","30 469 km","Benzyna","Automatyczna","2023","Podkarpackie"
